키워드,출처,월간검색수,검색수판정,1페이지 점령자,경쟁판정,추세,채택
클로드 코드 사용방법,자동완성,,"=IF(C2="""","""",IF(C2<100,""탈락"",IF(C2<=1000,""황금"",IF(C2<=5000,""채택"",""보류""))))",,,,"=IF(OR(D2="""",F2=""""),"""",IF(AND(OR(D2=""황금"",D2=""채택""),OR(F2=""O"",F2=""OO"")),""Y"",""N""))"
mcp 서버 만들기,자동완성,,"=IF(C3="""","""",IF(C3<100,""탈락"",IF(C3<=1000,""황금"",IF(C3<=5000,""채택"",""보류""))))",,,,"=IF(OR(D3="""",F3=""""),"""",IF(AND(OR(D3=""황금"",D3=""채택""),OR(F3=""O"",F3=""OO"")),""Y"",""N""))"
ai 업무 자동화 사례,자동완성,,"=IF(C4="""","""",IF(C4<100,""탈락"",IF(C4<=1000,""황금"",IF(C4<=5000,""채택"",""보류""))))",,,,"=IF(OR(D4="""",F4=""""),"""",IF(AND(OR(D4=""황금"",D4=""채택""),OR(F4=""O"",F4=""OO"")),""Y"",""N""))"
,,,"=IF(C5="""","""",IF(C5<100,""탈락"",IF(C5<=1000,""황금"",IF(C5<=5000,""채택"",""보류""))))",,,,"=IF(OR(D5="""",F5=""""),"""",IF(AND(OR(D5=""황금"",D5=""채택""),OR(F5=""O"",F5=""OO"")),""Y"",""N""))"
,,,"=IF(C6="""","""",IF(C6<100,""탈락"",IF(C6<=1000,""황금"",IF(C6<=5000,""채택"",""보류""))))",,,,"=IF(OR(D6="""",F6=""""),"""",IF(AND(OR(D6=""황금"",D6=""채택""),OR(F6=""O"",F6=""OO"")),""Y"",""N""))"
,,,"=IF(C7="""","""",IF(C7<100,""탈락"",IF(C7<=1000,""황금"",IF(C7<=5000,""채택"",""보류""))))",,,,"=IF(OR(D7="""",F7=""""),"""",IF(AND(OR(D7=""황금"",D7=""채택""),OR(F7=""O"",F7=""OO"")),""Y"",""N""))"
,,,"=IF(C8="""","""",IF(C8<100,""탈락"",IF(C8<=1000,""황금"",IF(C8<=5000,""채택"",""보류""))))",,,,"=IF(OR(D8="""",F8=""""),"""",IF(AND(OR(D8=""황금"",D8=""채택""),OR(F8=""O"",F8=""OO"")),""Y"",""N""))"
,,,"=IF(C9="""","""",IF(C9<100,""탈락"",IF(C9<=1000,""황금"",IF(C9<=5000,""채택"",""보류""))))",,,,"=IF(OR(D9="""",F9=""""),"""",IF(AND(OR(D9=""황금"",D9=""채택""),OR(F9=""O"",F9=""OO"")),""Y"",""N""))"
,,,"=IF(C10="""","""",IF(C10<100,""탈락"",IF(C10<=1000,""황금"",IF(C10<=5000,""채택"",""보류""))))",,,,"=IF(OR(D10="""",F10=""""),"""",IF(AND(OR(D10=""황금"",D10=""채택""),OR(F10=""O"",F10=""OO"")),""Y"",""N""))"
,,,"=IF(C11="""","""",IF(C11<100,""탈락"",IF(C11<=1000,""황금"",IF(C11<=5000,""채택"",""보류""))))",,,,"=IF(OR(D11="""",F11=""""),"""",IF(AND(OR(D11=""황금"",D11=""채택""),OR(F11=""O"",F11=""OO"")),""Y"",""N""))"
